id,act,section,title,content,keywords,replaces
BNS_36,Bharatiya Nyaya Sanhita 2023,36,Bharatiya Nyaya Sanhita 2023 Section 36,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 36. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 36
BNS_37,Bharatiya Nyaya Sanhita 2023,37,Bharatiya Nyaya Sanhita 2023 Section 37,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 37. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 37
BNS_38,Bharatiya Nyaya Sanhita 2023,38,Bharatiya Nyaya Sanhita 2023 Section 38,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 38. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 38
BNS_39,Bharatiya Nyaya Sanhita 2023,39,Bharatiya Nyaya Sanhita 2023 Section 39,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 39. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 39
BNS_40,Bharatiya Nyaya Sanhita 2023,40,Bharatiya Nyaya Sanhita 2023 Section 40,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 40. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 40
BNS_41,Bharatiya Nyaya Sanhita 2023,41,Bharatiya Nyaya Sanhita 2023 Section 41,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 41. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 41
BNS_42,Bharatiya Nyaya Sanhita 2023,42,Bharatiya Nyaya Sanhita 2023 Section 42,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 42. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 42
BNS_43,Bharatiya Nyaya Sanhita 2023,43,Bharatiya Nyaya Sanhita 2023 Section 43,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 43. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 43
BNS_44,Bharatiya Nyaya Sanhita 2023,44,Bharatiya Nyaya Sanhita 2023 Section 44,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 44. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 44
BNS_45,Bharatiya Nyaya Sanhita 2023,45,Bharatiya Nyaya Sanhita 2023 Section 45,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 45. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 45
BNS_46,Bharatiya Nyaya Sanhita 2023,46,Bharatiya Nyaya Sanhita 2023 Section 46,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 46. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 46
BNS_47,Bharatiya Nyaya Sanhita 2023,47,Bharatiya Nyaya Sanhita 2023 Section 47,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 47. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 47
BNS_48,Bharatiya Nyaya Sanhita 2023,48,Bharatiya Nyaya Sanhita 2023 Section 48,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 48. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 48
BNS_49,Bharatiya Nyaya Sanhita 2023,49,Bharatiya Nyaya Sanhita 2023 Section 49,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 49. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 49
BNS_50,Bharatiya Nyaya Sanhita 2023,50,Bharatiya Nyaya Sanhita 2023 Section 50,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 50. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 50
BNS_51,Bharatiya Nyaya Sanhita 2023,51,Bharatiya Nyaya Sanhita 2023 Section 51,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 51. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 51
BNS_52,Bharatiya Nyaya Sanhita 2023,52,Bharatiya Nyaya Sanhita 2023 Section 52,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 52. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 52
BNS_53,Bharatiya Nyaya Sanhita 2023,53,Bharatiya Nyaya Sanhita 2023 Section 53,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 53. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 53
BNS_54,Bharatiya Nyaya Sanhita 2023,54,Bharatiya Nyaya Sanhita 2023 Section 54,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 54. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 54
BNS_55,Bharatiya Nyaya Sanhita 2023,55,Bharatiya Nyaya Sanhita 2023 Section 55,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 55. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 55
BNS_56,Bharatiya Nyaya Sanhita 2023,56,Bharatiya Nyaya Sanhita 2023 Section 56,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 56. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 56
BNS_57,Bharatiya Nyaya Sanhita 2023,57,Bharatiya Nyaya Sanhita 2023 Section 57,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 57. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 57
BNS_58,Bharatiya Nyaya Sanhita 2023,58,Bharatiya Nyaya Sanhita 2023 Section 58,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 58. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 58
BNS_59,Bharatiya Nyaya Sanhita 2023,59,Bharatiya Nyaya Sanhita 2023 Section 59,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 59. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 59
BNS_60,Bharatiya Nyaya Sanhita 2023,60,Bharatiya Nyaya Sanhita 2023 Section 60,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 60. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 60
BNS_61,Bharatiya Nyaya Sanhita 2023,61,Bharatiya Nyaya Sanhita 2023 Section 61,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 61. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 61
BNS_62,Bharatiya Nyaya Sanhita 2023,62,Bharatiya Nyaya Sanhita 2023 Section 62,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 62. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 62
BNS_63,Bharatiya Nyaya Sanhita 2023,63,Bharatiya Nyaya Sanhita 2023 Section 63,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 63. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 63
BNS_64,Bharatiya Nyaya Sanhita 2023,64,Bharatiya Nyaya Sanhita 2023 Section 64,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 64. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 64
BNS_65,Bharatiya Nyaya Sanhita 2023,65,Bharatiya Nyaya Sanhita 2023 Section 65,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 65. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 65
BNS_66,Bharatiya Nyaya Sanhita 2023,66,Bharatiya Nyaya Sanhita 2023 Section 66,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 66. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 66
BNS_67,Bharatiya Nyaya Sanhita 2023,67,Bharatiya Nyaya Sanhita 2023 Section 67,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 67. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 67
BNS_68,Bharatiya Nyaya Sanhita 2023,68,Bharatiya Nyaya Sanhita 2023 Section 68,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 68. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 68
BNS_69,Bharatiya Nyaya Sanhita 2023,69,Bharatiya Nyaya Sanhita 2023 Section 69,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 69. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 69
BNS_70,Bharatiya Nyaya Sanhita 2023,70,Bharatiya Nyaya Sanhita 2023 Section 70,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 70. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 70
BNS_71,Bharatiya Nyaya Sanhita 2023,71,Bharatiya Nyaya Sanhita 2023 Section 71,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 71. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 71
BNS_72,Bharatiya Nyaya Sanhita 2023,72,Bharatiya Nyaya Sanhita 2023 Section 72,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 72. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 72
BNS_73,Bharatiya Nyaya Sanhita 2023,73,Bharatiya Nyaya Sanhita 2023 Section 73,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 73. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 73
BNS_74,Bharatiya Nyaya Sanhita 2023,74,Bharatiya Nyaya Sanhita 2023 Section 74,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 74. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 74
BNS_75,Bharatiya Nyaya Sanhita 2023,75,Bharatiya Nyaya Sanhita 2023 Section 75,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 75. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 75
BNS_76,Bharatiya Nyaya Sanhita 2023,76,Bharatiya Nyaya Sanhita 2023 Section 76,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 76. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 76
BNS_77,Bharatiya Nyaya Sanhita 2023,77,Bharatiya Nyaya Sanhita 2023 Section 77,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 77. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 77
BNS_78,Bharatiya Nyaya Sanhita 2023,78,Bharatiya Nyaya Sanhita 2023 Section 78,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 78. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 78
BNS_79,Bharatiya Nyaya Sanhita 2023,79,Bharatiya Nyaya Sanhita 2023 Section 79,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 79. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 79
BNS_80,Bharatiya Nyaya Sanhita 2023,80,Bharatiya Nyaya Sanhita 2023 Section 80,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 80. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 80
BNS_81,Bharatiya Nyaya Sanhita 2023,81,Bharatiya Nyaya Sanhita 2023 Section 81,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 81. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 81
BNS_82,Bharatiya Nyaya Sanhita 2023,82,Bharatiya Nyaya Sanhita 2023 Section 82,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 82. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 82
BNS_83,Bharatiya Nyaya Sanhita 2023,83,Bharatiya Nyaya Sanhita 2023 Section 83,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 83. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 83
BNS_84,Bharatiya Nyaya Sanhita 2023,84,Bharatiya Nyaya Sanhita 2023 Section 84,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 84. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 84
BNS_85,Bharatiya Nyaya Sanhita 2023,85,Bharatiya Nyaya Sanhita 2023 Section 85,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 85. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 85
BNS_86,Bharatiya Nyaya Sanhita 2023,86,Bharatiya Nyaya Sanhita 2023 Section 86,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 86. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 86
BNS_87,Bharatiya Nyaya Sanhita 2023,87,Bharatiya Nyaya Sanhita 2023 Section 87,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 87. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 87
BNS_88,Bharatiya Nyaya Sanhita 2023,88,Bharatiya Nyaya Sanhita 2023 Section 88,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 88. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 88
BNS_89,Bharatiya Nyaya Sanhita 2023,89,Bharatiya Nyaya Sanhita 2023 Section 89,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 89. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 89
BNS_90,Bharatiya Nyaya Sanhita 2023,90,Bharatiya Nyaya Sanhita 2023 Section 90,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 90. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 90
BNS_91,Bharatiya Nyaya Sanhita 2023,91,Bharatiya Nyaya Sanhita 2023 Section 91,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 91. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 91
BNS_92,Bharatiya Nyaya Sanhita 2023,92,Bharatiya Nyaya Sanhita 2023 Section 92,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 92. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 92
BNS_93,Bharatiya Nyaya Sanhita 2023,93,Bharatiya Nyaya Sanhita 2023 Section 93,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 93. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 93
BNS_94,Bharatiya Nyaya Sanhita 2023,94,Bharatiya Nyaya Sanhita 2023 Section 94,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 94. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 94
BNS_95,Bharatiya Nyaya Sanhita 2023,95,Bharatiya Nyaya Sanhita 2023 Section 95,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 95. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 95
BNS_96,Bharatiya Nyaya Sanhita 2023,96,Bharatiya Nyaya Sanhita 2023 Section 96,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 96. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 96
BNS_97,Bharatiya Nyaya Sanhita 2023,97,Bharatiya Nyaya Sanhita 2023 Section 97,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 97. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 97
BNS_98,Bharatiya Nyaya Sanhita 2023,98,Bharatiya Nyaya Sanhita 2023 Section 98,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 98. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 98
BNS_99,Bharatiya Nyaya Sanhita 2023,99,Bharatiya Nyaya Sanhita 2023 Section 99,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 99. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 99
BNS_100,Bharatiya Nyaya Sanhita 2023,100,Bharatiya Nyaya Sanhita 2023 Section 100,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 100. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 100
BNS_101,Bharatiya Nyaya Sanhita 2023,101,Bharatiya Nyaya Sanhita 2023 Section 101,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 101. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 101
BNS_102,Bharatiya Nyaya Sanhita 2023,102,Bharatiya Nyaya Sanhita 2023 Section 102,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 102. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 102
BNS_103,Bharatiya Nyaya Sanhita 2023,103,Bharatiya Nyaya Sanhita 2023 Section 103,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 103. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 103
BNS_104,Bharatiya Nyaya Sanhita 2023,104,Bharatiya Nyaya Sanhita 2023 Section 104,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 104. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 104
BNS_105,Bharatiya Nyaya Sanhita 2023,105,Bharatiya Nyaya Sanhita 2023 Section 105,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 105. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 105
BNS_106,Bharatiya Nyaya Sanhita 2023,106,Bharatiya Nyaya Sanhita 2023 Section 106,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 106. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 106
BNS_107,Bharatiya Nyaya Sanhita 2023,107,Bharatiya Nyaya Sanhita 2023 Section 107,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 107. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 107
BNS_108,Bharatiya Nyaya Sanhita 2023,108,Bharatiya Nyaya Sanhita 2023 Section 108,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 108. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 108
BNS_109,Bharatiya Nyaya Sanhita 2023,109,Bharatiya Nyaya Sanhita 2023 Section 109,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 109. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 109
BNS_110,Bharatiya Nyaya Sanhita 2023,110,Bharatiya Nyaya Sanhita 2023 Section 110,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 110. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 110
BNS_111,Bharatiya Nyaya Sanhita 2023,111,Bharatiya Nyaya Sanhita 2023 Section 111,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 111. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 111
BNS_112,Bharatiya Nyaya Sanhita 2023,112,Bharatiya Nyaya Sanhita 2023 Section 112,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 112. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 112
BNS_113,Bharatiya Nyaya Sanhita 2023,113,Bharatiya Nyaya Sanhita 2023 Section 113,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 113. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 113
BNS_114,Bharatiya Nyaya Sanhita 2023,114,Bharatiya Nyaya Sanhita 2023 Section 114,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 114. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 114
BNS_115,Bharatiya Nyaya Sanhita 2023,115,Bharatiya Nyaya Sanhita 2023 Section 115,"This is placeholder legal text for Bharatiya Nyaya Sanhita 2023 section 115. It describes provisions, procedures, or offences under the law.","criminal law, offence",IPC 115
